,Phase,Model,Estimated ATE,n_covariates
428,Test,BICauseTree(Marginal),0.005791090436779223,75
429,Train,BICauseTree(Marginal),0.015110727379801542,75
430,Test,BICauseTree(Marginal),0.011253206564738799,75
431,Train,BICauseTree(Marginal),0.015538101301136253,75
432,Test,BICauseTree(Marginal),0.009353105038768655,75
433,Train,BICauseTree(Marginal),0.018385278485774315,75
434,Test,BICauseTree(Marginal),0.0013889268637590768,75
435,Train,BICauseTree(Marginal),0.012183863745937717,75
436,Test,BICauseTree(Marginal),0.009626589313511291,75
437,Train,BICauseTree(Marginal),0.020353161257547103,75
438,Test,BICauseTree(Marginal),0.014308748491216633,75
439,Train,BICauseTree(Marginal),0.013648642667369898,75
440,Test,BICauseTree(Marginal),0.007331915040124842,75
441,Train,BICauseTree(Marginal),0.01323213443584037,75
442,Test,BICauseTree(Marginal),0.01673944070626826,75
443,Train,BICauseTree(Marginal),0.011069656777410314,75
444,Test,BICauseTree(Marginal),0.006569677661937362,75
445,Train,BICauseTree(Marginal),0.015571979897005594,75
446,Test,BICauseTree(Marginal),0.015887387341531917,75
447,Train,BICauseTree(Marginal),0.009589911735998685,75
448,Test,BICauseTree(Marginal),0.00932534994642989,75
449,Train,BICauseTree(Marginal),0.016007978165629266,75
450,Test,BICauseTree(Marginal),0.01648069297685037,75
451,Train,BICauseTree(Marginal),0.0046417107368850186,75
452,Test,BICauseTree(Marginal),0.017005819977248537,75
453,Train,BICauseTree(Marginal),0.010697582262890276,75
454,Test,BICauseTree(Marginal),0.016440025538554115,75
455,Train,BICauseTree(Marginal),0.0040926042992695255,75
456,Test,BICauseTree(Marginal),0.006895939753868235,75
457,Train,BICauseTree(Marginal),0.013896960052377172,75
458,Test,BICauseTree(Marginal),0.012597320724482108,75
459,Train,BICauseTree(Marginal),0.012405884279612256,75
460,Test,BICauseTree(Marginal),0.009234938156678446,75
461,Train,BICauseTree(Marginal),0.013086365764961666,75
462,Test,BICauseTree(Marginal),0.016629668406799802,75
463,Train,BICauseTree(Marginal),0.008264031258946092,75
464,Test,BICauseTree(Marginal),0.01355743552214489,75
465,Train,BICauseTree(Marginal),0.009477480635957353,75
466,Test,BICauseTree(Marginal),0.0005827712421510312,75
467,Train,BICauseTree(Marginal),0.020949983999903388,75
468,Test,BICauseTree(Marginal),0.02451156830689777,75
469,Train,BICauseTree(Marginal),0.005596199063560542,75
470,Test,BICauseTree(Marginal),0.00873199492217569,75
471,Train,BICauseTree(Marginal),0.01092359592061165,75
472,Test,BICauseTree(Marginal),0.017154440177932273,75
473,Train,BICauseTree(Marginal),0.009619990735100475,75
474,Test,BICauseTree(Marginal),0.007229769364322902,75
475,Train,BICauseTree(Marginal),0.014128996735135207,75
476,Test,BICauseTree(Marginal),0.01638270839340933,75
477,Train,BICauseTree(Marginal),0.014863174837012827,75
478,Test,BICauseTree(Marginal),0.009060732619150247,75
479,Train,BICauseTree(Marginal),0.019972761035836506,75
480,Test,BICauseTree(Marginal),0.007523823629809967,75
481,Train,BICauseTree(Marginal),0.023296661060352247,75
482,Test,BICauseTree(Marginal),0.02361341378776044,75
483,Train,BICauseTree(Marginal),0.0023562797805328772,75
484,Test,BICauseTree(Marginal),0.01742712241461497,75
485,Train,BICauseTree(Marginal),0.005485279792043163,75
486,Test,BICauseTree(Marginal),0.021092327856484766,75
487,Train,BICauseTree(Marginal),0.004095289934384155,75
488,Test,BICauseTree(Marginal),0.007294116688119273,75
489,Train,BICauseTree(Marginal),0.018725324745123728,75
